iter	Passed	Remaining
0	3	3910
1	7	3716
2	11	3725
3	14	3628
4	18	3616
5	21	3552
6	25	3563
7	28	3506
8	31	3503
9	35	3480
10	40	3651
11	43	3616
12	47	3632
13	51	3632
14	55	3654
15	58	3621
16	62	3631
17	66	3608
18	69	3608
19	73	3586
20	78	3639
21	85	3788
22	96	4106
23	100	4099
24	104	4070
25	108	4070
26	111	4033
27	115	4019
28	118	3982
29	122	3961
30	125	3933
31	129	3912
32	132	3884
33	136	3871
34	139	3853
35	143	3843
36	146	3821
37	150	3811
38	153	3789
39	157	3786
40	160	3750
41	163	3731
42	166	3716
43	170	3703
44	174	3699
45	176	3657
46	179	3642
47	183	3634
48	186	3623
49	192	3654
50	195	3640
51	199	3630
52	202	3614
53	205	3605
54	209	3602
55	213	3597
56	216	3582
57	220	3575
58	223	3566
59	227	3558
60	230	3548
61	234	3541
62	237	3531
63	241	3529
64	244	3519
65	246	3490
66	249	3477
67	253	3472
68	256	3460
69	260	3459
70	263	3448
71	267	3442
72	270	3430
73	273	3422
74	276	3414
75	281	3420
76	292	3500
77	296	3508
78	301	3515
79	305	3512
80	310	3518
81	314	3515
82	317	3512
83	321	3502
84	327	3527
85	331	3520
86	335	3526
87	340	3528
88	344	3522
89	347	3511
90	350	3501
91	354	3499
92	359	3503
93	362	3494
94	367	3499
95	370	3492
96	374	3487
97	377	3477
98	381	3475
99	385	3465
100	390	3472
101	393	3462
102	397	3461
103	401	3454
104	404	3446
105	406	3430
106	410	3427
107	413	3417
108	417	3413
109	421	3409
110	424	3401
111	428	3394
112	431	3388
113	435	3383
114	439	3379
115	442	3372
116	446	3367
117	449	3357
118	453	3355
119	456	3346
120	460	3344
121	463	3332
122	466	3326
123	468	3311
124	472	3305
125	475	3300
126	482	3314
127	489	3331
128	492	3322
129	496	3320
130	499	3315
131	503	3311
132	506	3304
133	510	3297
134	513	3287
135	516	3279
136	519	3274
137	523	3269
138	526	3263
139	530	3258
140	534	3253
141	537	3248
142	540	3239
143	543	3231
144	546	3224
145	550	3218
146	553	3212
147	556	3204
148	560	3198
149	564	3196
150	567	3189
151	570	3183
152	573	3176
153	576	3168
154	580	3162
155	583	3156
156	586	3151
157	589	3143
158	593	3137
159	596	3130
160	599	3122
161	602	3115
162	605	3110
163	608	3104
164	613	3103
165	616	3096
166	618	3087
167	622	3081
168	626	3079
169	629	3075
170	633	3071
171	636	3063
172	639	3058
173	643	3053
174	648	3054
175	650	3047
176	655	3046
177	658	3042
178	662	3037
179	665	3031
180	669	3029
181	672	3024
182	676	3019
183	679	3012
184	682	3006
185	685	3001
186	688	2994
187	693	2994
188	696	2988
189	699	2983
190	703	2981
191	707	2979
192	712	2978
193	717	2979
194	721	2977
195	731	3001
196	741	3023
197	774	3135
198	782	3148
199	790	3163
200	800	3181
201	804	3177
202	807	3172
203	812	3171
204	819	3178
205	827	3191
206	836	3203
207	845	3221
208	854	3234
209	863	3247
210	869	3251
211	879	3268
212	888	3282
213	897	3295
214	908	3318
215	914	3317
216	924	3334
217	933	3346
218	940	3355
219	947	3357
220	957	3373
221	965	3382
222	970	3382
223	979	3394
224	989	3407
225	997	3416
226	1004	3419
227	1014	3433
228	1024	3448
229	1031	3452
230	1040	3463
231	1048	3471
232	1057	3482
233	1066	3490
234	1074	3498
235	1083	3508
236	1094	3522
237	1102	3530
238	1112	3542
239	1121	3550
240	1127	3552
241	1137	3563
242	1146	3571
243	1154	3577
244	1165	3591
245	1174	3601
246	1184	3612
247	1194	3621
248	1203	3631
249	1216	3649
250	1223	3651
251	1230	3652
252	1241	3666
253	1250	3671
254	1258	3675
255	1267	3683
256	1275	3687
257	1281	3685
258	1290	3692
259	1310	3731
260	1321	3741
261	1339	3773
262	1351	3787
263	1363	3801
264	1372	3806
265	1379	3807
266	1388	3811
267	1396	3814
268	1404	3815
269	1413	3821
270	1420	3822
271	1427	3821
272	1437	3828
273	1446	3834
274	1455	3835
275	1463	3838
276	1472	3843
277	1480	3845
278	1488	3845
279	1494	3842
280	1503	3848
281	1512	3849
282	1519	3849
283	1527	3850
284	1536	3853
285	1544	3855
286	1553	3860
287	1562	3862
288	1570	3863
289	1579	3865
290	1587	3868
291	1597	3872
292	1604	3872
293	1610	3868
294	1620	3873
295	1629	3874
296	1638	3877
297	1647	3880
298	1653	3877
299	1663	3881
300	1671	3882
301	1679	3882
302	1686	3878
303	1697	3885
304	1705	3887
305	1718	3898
306	1728	3900
307	1736	3900
308	1748	3910
309	1758	3913
310	1766	3912
311	1773	3909
312	1778	3904
313	1790	3911
314	1799	3913
315	1807	3913
316	1817	3915
317	1825	3914
318	1833	3913
319	1839	3909
320	1849	3912
321	1858	3913
322	1862	3902
323	1870	3902
324	1881	3908
325	1887	3902
326	1897	3905
327	1907	3907
328	1914	3904
329	1923	3905
330	1935	3911
331	1940	3904
332	1952	3909
333	1962	3912
334	1970	3911
335	1978	3909
336	1986	3907
337	1993	3904
338	2001	3903
339	2011	3904
340	2019	3903
341	2028	3902
342	2037	3902
343	2047	3903
344	2057	3906
345	2067	3907
346	2079	3913
347	2087	3910
348	2094	3907
349	2102	3903
350	2108	3898
351	2118	3900
352	2124	3894
353	2134	3895
354	2142	3892
355	2148	3887
356	2160	3890
357	2170	3891
358	2179	3891
359	2187	3889
360	2196	3887
361	2202	3882
362	2212	3881
363	2221	3881
364	2231	3881
365	2239	3879
366	2248	3878
367	2255	3873
368	2265	3874
369	2272	3869
370	2287	3877
371	2306	3893
372	2317	3895
373	2332	3904
374	2341	3901
375	2348	3897
376	2361	3902
377	2369	3899
378	2381	3901
379	2389	3898
380	2398	3896
381	2411	3900
382	2419	3898
383	2428	3895
384	2437	3894
385	2447	3892
386	2455	3889
387	2463	3885
388	2471	3882
389	2478	3876
390	2488	3876
391	2500	3878
392	2511	3879
393	2519	3875
394	2529	3874
395	2535	3867
396	2547	3869
397	2554	3863
398	2564	3863
399	2573	3860
400	2581	3856
401	2591	3855
402	2600	3851
403	2607	3846
404	2615	3842
405	2624	3840
406	2630	3832
407	2639	3830
408	2648	3827
409	2657	3823
410	2666	3820
411	2673	3816
412	2681	3811
413	2689	3806
414	2697	3803
415	2707	3801
416	2716	3797
417	2724	3793
418	2732	3789
419	2741	3785
420	2748	3780
421	2756	3775
422	2762	3768
423	2772	3766
424	2781	3763
425	2789	3758
426	2796	3752
427	2806	3751
428	2815	3747
429	2823	3742
430	2831	3737
431	2837	3730
432	2847	3728
433	2862	3733
434	2871	3729
435	2879	3725
436	2891	3725
437	2900	3721
438	2909	3717
439	2917	3712
440	2926	3709
441	2934	3704
442	2943	3700
443	2952	3697
444	2959	3690
445	2969	3688
446	2977	3683
447	2988	3682
448	2995	3675
449	3004	3671
450	3014	3669
451	3020	3661
452	3030	3659
453	3039	3655
454	3049	3652
455	3057	3647
456	3063	3640
457	3074	3637
458	3092	3645
459	3103	3642
460	3111	3637
461	3119	3632
462	3130	3630
463	3137	3624
464	3143	3616
465	3153	3613
466	3162	3609
467	3171	3605
468	3179	3600
469	3186	3593
470	3191	3584
471	3195	3574
472	3200	3565
473	3204	3555
474	3207	3545
475	3211	3535
476	3215	3525
477	3220	3517
478	3229	3512
479	3235	3505
480	3246	3502
481	3263	3506
482	3275	3505
483	3290	3508
484	3303	3507
485	3315	3506
486	3322	3499
487	3330	3494
488	3338	3488
489	3344	3480
490	3352	3475
491	3361	3470
492	3370	3466
493	3379	3462
494	3386	3454
495	3396	3450
496	3405	3446
497	3412	3439
498	3420	3434
499	3428	3428
500	3436	3422
501	3442	3414
502	3452	3410
